AccountNumber,PlanName,Rate,BillDate,UsageTime,UsageDuration
SA-0220-61-46,MV-L,0.5,28/03/2012,2012-03-05 12:11:08,770
SA-0012-71-76,MV-L,0.5,28/02/2011,2011-02-22 14:21:42,266
SA-0222-28-58,MV-L,0.5,28/01/2012,2012-01-31 06:33:25,616
SA-0339-42-22,MV-L,0.5,28/07/2011,2011-07-02 15:01:21,211
SA-0252-71-33,MV-L,0.5,28/05/2011,2011-05-11 15:39:37,681
SA-0414-86-48,MV-L,0.5,28/04/2011,2011-04-26 05:09:30,670
SA-0107-05-98,MV-L,0.5,28/07/2011,2011-07-11 16:29:12,480
SA-0279-91-74,MV-L,0.5,28/07/2011,2011-07-04 22:24:35,103
SA-0314-69-44,MV-L,0.5,28/11/2012,2012-11-22 19:44:26,404
SA-0312-94-95,MV-L,0.5,28/09/2011,2011-09-03 06:47:46,383
SA-0414-86-48,MV-L,0.5,28/05/2011,2011-05-24 02:52:58,244
SA-0312-94-95,MV-L,0.5,28/10/2011,2011-10-04 06:18:02,346
SA-0401-55-12,MV-L,0.5,28/12/2012,2012-12-05 03:16:11,309
SA-0114-12-73,MV-L,0.5,28/12/2011,2011-12-22 18:48:57,734
SA-0107-05-98,MV-L,0.5,28/12/2011,2011-12-18 12:22:57,280
SA-0414-20-79,MV-L,0.5,28/02/2011,2011-02-17 15:50:50,915
SA-0005-14-91,MV-L,0.5,28/07/2012,2012-07-22 10:50:56,598
SA-0305-50-15,MV-L,0.5,28/01/2012,2012-01-04 05:46:17,978
SA-0112-53-34,MV-L,0.5,28/11/2012,2012-11-04 17:53:19,758
SA-0222-28-58,MV-L,0.5,28/03/2012,2012-03-20 15:46:09,687
SA-0343-60-69,MV-L,0.5,28/11/2011,2011-11-30 06:58:09,300
SA-0144-10-84,MV-L,0.5,28/12/2011,2011-12-03 00:44:27,194
SA-0279-91-74,MV-L,0.5,28/02/2012,2012-02-23 03:19:16,163
SA-0187-35-19,MV-L,0.5,28/05/2012,2012-05-17 11:43:43,807
SA-0187-35-19,MV-L,0.5,28/09/2012,2012-09-18 01:27:41,207
SA-0133-16-62,MV-L,0.5,28/09/2012,2012-09-20 11:50:21,852
SA-0151-98-79,MV-L,0.5,28/11/2012,2012-11-28 12:16:14,71
SA-0222-28-58,MV-L,0.5,28/08/2012,2012-08-16 02:31:56,569
SA-0063-02-33,MV-L,0.5,28/11/2012,2012-11-07 06:49:57,901
SA-0037-94-05,MV-L,0.5,28/04/2011,2011-04-17 14:27:09,891
SA-0185-10-64,MV-L,0.5,28/04/2012,2012-04-22 13:11:56,73
SA-0186-07-48,MV-L,0.5,28/05/2012,2012-05-15 12:52:43,711
SA-0033-12-88,MV-L,0.5,28/05/2012,2012-05-22 00:47:59,480
SA-0055-36-68,MV-L,0.5,28/06/2012,2012-06-02 14:04:09,919
SA-0080-84-93,MV-L,0.5,28/02/2011,2011-02-06 10:16:36,244
SA-0343-60-69,MV-L,0.5,28/07/2012,2012-07-26 23:58:08,585
SA-0227-78-67,MV-L,0.5,28/02/2011,2011-02-06 13:09:50,802
SA-0361-84-31,MV-L,0.5,28/12/2012,2012-12-23 18:58:34,564
SA-0012-71-76,MV-L,0.5,28/05/2011,2011-05-25 12:25:21,816
SA-0063-02-33,MV-L,0.5,28/04/2012,2012-04-06 19:37:07,379
SA-0063-02-33,MV-L,0.5,28/03/2011,2011-03-04 22:19:46,310
SA-0185-10-64,MV-L,0.5,28/05/2012,2012-05-24 05:46:10,149
SA-0114-12-73,MV-L,0.5,28/01/2012,2012-01-10 20:35:21,311
SA-0312-94-95,MV-L,0.5,28/03/2012,2012-03-30 17:18:30,325
SA-0210-42-47,MV-L,0.5,28/06/2011,2011-06-17 08:20:32,482
SA-0249-45-54,MV-L,0.5,28/01/2012,2012-01-16 13:05:51,479
SA-0314-69-44,MV-L,0.5,28/04/2012,2012-04-08 04:47:48,282
SA-0202-82-34,MV-L,0.5,28/02/2012,2012-02-04 12:42:55,93
SA-0033-12-88,MV-L,0.5,28/12/2011,2011-12-02 13:26:01,509
SA-0414-86-48,MV-L,0.5,28/09/2012,2012-09-06 20:58:33,752
SA-0249-45-54,MV-L,0.5,28/02/2011,2011-02-08 23:48:58,364
SA-0335-96-08,MV-L,0.5,28/04/2011,2011-04-30 04:09:46,535
SA-0080-84-93,MV-L,0.5,28/02/2012,2012-02-11 18:31:00,414
SA-0112-53-34,MV-L,0.5,28/04/2011,2011-04-17 09:22:46,536
SA-0303-06-26,MV-L,0.5,28/06/2012,2012-06-16 16:12:51,330
SA-0249-45-54,MV-L,0.5,28/05/2012,2012-05-09 05:37:10,205
SA-0185-59-07,MV-L,0.5,28/06/2011,2011-06-15 12:34:21,186
SA-0033-12-88,MV-L,0.5,28/12/2012,2012-12-20 10:30:29,218
SA-0303-06-26,MV-L,0.5,28/09/2012,2012-09-15 07:47:39,344
SA-0037-94-05,MV-L,0.5,28/07/2012,2012-07-21 05:52:24,361
SA-0182-19-79,MV-L,0.5,28/04/2012,2012-04-05 05:37:21,829
SA-0185-59-07,MV-L,0.5,28/06/2011,2011-06-10 10:56:42,157
SA-0138-33-52,MV-L,0.5,28/11/2012,2012-11-16 06:11:24,557
SA-0107-05-98,MV-L,0.5,28/01/2012,2012-01-10 20:14:47,586
SA-0107-05-98,MV-L,0.5,28/12/2011,2011-12-11 02:12:51,267
SA-0021-95-06,MV-L,0.5,28/12/2011,2011-12-29 23:52:43,311
SA-0249-45-54,MV-L,0.5,28/06/2011,2011-06-26 12:33:32,365
SA-0187-35-19,MV-L,0.5,28/12/2012,2012-12-21 03:32:33,789
SA-0005-14-91,MV-L,0.5,28/08/2011,2011-08-03 06:09:44,477
SA-0009-04-02,MV-L,0.5,28/12/2012,2012-12-01 05:25:20,63
SA-0133-16-62,MV-L,0.5,28/12/2011,2011-12-13 18:05:38,503
SA-0227-78-67,MV-L,0.5,28/06/2012,2012-06-21 05:11:05,478
SA-0182-19-79,MV-L,0.5,28/01/2012,2012-01-20 11:59:41,974
SA-0182-19-79,MV-L,0.5,28/06/2012,2012-06-16 11:48:29,355
SA-0249-45-54,MV-L,0.5,28/12/2011,2011-12-19 02:35:29,113
SA-0037-94-05,MV-L,0.5,28/03/2011,2011-03-02 01:52:17,426
SA-0303-06-26,MV-L,0.5,28/03/2011,2011-03-12 22:13:02,980
SA-0055-36-68,MV-L,0.5,28/04/2012,2012-04-18 15:10:26,166
SA-0112-53-34,MV-L,0.5,28/01/2011,2011-01-23 04:28:21,943
SA-0185-10-64,MV-L,0.5,28/09/2011,2011-09-29 12:43:12,346
SA-0261-41-34,MV-L,0.5,28/06/2012,2012-06-11 05:40:09,140
SA-0151-98-79,MV-L,0.5,28/03/2011,2011-03-03 06:24:58,762
SA-0314-69-44,MV-L,0.5,28/07/2012,2012-07-25 06:19:34,813
SA-0303-06-26,MV-L,0.5,28/04/2012,2012-04-24 00:13:23,544
SA-0033-12-88,MV-L,0.5,28/04/2012,2012-04-02 05:55:29,624
SA-0005-14-91,MV-L,0.5,28/05/2011,2011-05-03 15:25:14,710
SA-0303-06-26,MV-L,0.5,28/12/2011,2011-12-03 06:08:52,262
SA-0401-55-12,MV-L,0.5,28/11/2011,2011-11-29 07:37:29,304
SA-0185-10-64,MV-L,0.5,28/02/2012,2012-02-13 18:14:08,107
SA-0021-95-06,MV-L,0.5,28/03/2011,2011-03-21 03:02:05,738
SA-0114-12-73,MV-L,0.5,28/08/2012,2012-08-15 21:20:42,119
SA-0145-41-01,MV-L,0.5,28/11/2012,2012-11-04 14:37:50,388
SA-0312-94-95,MV-L,0.5,28/01/2012,2012-01-21 00:05:56,685
SA-0227-78-67,MV-L,0.5,28/05/2011,2011-05-16 08:07:22,620
SA-0279-91-74,MV-L,0.5,28/09/2011,2011-09-28 10:41:18,109
SA-0021-95-06,MV-L,0.5,28/04/2012,2012-04-22 16:44:45,696
SA-0009-04-02,MV-L,0.5,28/10/2012,2012-10-21 18:05:14,527
SA-0210-42-47,MV-L,0.5,28/05/2012,2012-05-20 21:02:19,144
SA-0186-07-48,MV-L,0.5,28/10/2011,2011-10-02 09:53:18,156
SA-0227-78-67,MV-L,0.5,28/11/2012,2012-11-05 04:32:14,719
SA-0252-71-33,MV-L,0.5,28/11/2011,2011-11-16 21:03:27,829
SA-0185-10-64,MV-L,0.5,28/10/2011,2011-10-11 10:09:56,752
SA-0155-74-77,MV-L,0.5,28/01/2012,2012-01-26 15:59:07,337
SA-0220-61-46,MV-L,0.5,28/09/2011,2011-09-22 12:33:29,305
SA-0185-10-64,MV-L,0.5,28/04/2012,2012-04-30 08:33:52,380
SA-0186-07-48,MV-L,0.5,28/05/2012,2012-05-16 19:05:37,772
SA-0339-42-22,MV-L,0.5,28/08/2012,2012-08-16 13:04:29,218
SA-0185-59-07,MV-L,0.5,28/02/2012,2012-02-04 00:05:45,202
SA-0138-33-52,MV-L,0.5,28/04/2012,2012-04-26 20:03:30,943
SA-0305-50-15,MV-L,0.5,28/06/2012,2012-06-18 22:43:36,221
SA-0138-33-52,MV-L,0.5,28/07/2012,2012-07-09 10:04:19,563
SA-0063-02-33,MV-L,0.5,28/06/2011,2011-06-17 07:46:34,535
SA-0155-74-77,MV-L,0.5,28/03/2011,2011-03-27 06:42:53,128
SA-0107-05-98,MV-L,0.5,28/03/2011,2011-03-10 12:54:12,597
SA-0112-53-34,MV-L,0.5,28/08/2012,2012-08-23 23:46:47,138
SA-0261-41-34,MV-L,0.5,28/02/2012,2012-02-01 02:53:01,599
SA-0335-96-08,MV-L,0.5,28/08/2011,2011-08-10 07:17:11,889
SA-0092-93-02,MV-L,0.5,28/01/2011,2011-01-31 03:01:28,114
SA-0414-86-48,MV-L,0.5,28/10/2012,2012-10-30 12:48:35,396
SA-0092-93-02,MV-L,0.5,28/12/2011,2011-12-03 22:21:29,834
SA-0114-12-73,MV-L,0.5,28/08/2011,2011-08-21 05:26:56,831
SA-0185-59-07,MV-L,0.5,28/12/2011,2011-12-09 11:03:39,60
SA-0182-19-79,MV-L,0.5,28/05/2012,2012-05-09 04:21:42,264
SA-0185-10-64,MV-L,0.5,28/01/2011,2011-01-03 21:24:03,631
SA-0339-42-22,MV-L,0.5,28/11/2012,2012-11-03 03:18:57,498
SA-0290-06-89,MV-L,0.5,28/08/2012,2012-08-19 10:43:22,632
SA-0227-78-67,MV-L,0.5,28/08/2011,2011-08-20 23:39:04,747
SA-0343-60-69,MV-L,0.5,28/05/2012,2012-05-12 17:19:08,343
SA-0147-43-82,MV-L,0.5,28/02/2012,2012-02-06 13:17:01,858
SA-0305-50-15,MV-L,0.5,28/10/2012,2012-10-02 09:52:30,505
SA-0080-84-93,MV-L,0.5,28/08/2012,2012-08-26 14:01:39,997
SA-0155-74-77,MV-L,0.5,28/11/2012,2012-11-28 21:27:29,750
SA-0144-10-84,MV-L,0.5,28/05/2011,2011-05-25 01:49:14,320
SA-0227-78-67,MV-L,0.5,28/05/2011,2011-05-27 09:21:53,917
SA-0339-42-22,MV-L,0.5,28/01/2012,2012-01-19 22:37:11,457
SA-0114-12-73,MV-L,0.5,28/07/2011,2011-07-25 19:03:14,441
SA-0263-79-37,MV-L,0.5,28/02/2011,2011-02-09 01:32:15,724
SA-0151-98-79,MV-L,0.5,28/03/2012,2012-03-19 09:11:53,865
SA-0037-94-05,MV-L,0.5,28/02/2012,2012-02-05 14:42:52,683
SA-0401-55-12,MV-L,0.5,28/01/2012,2012-01-07 14:24:53,87
SA-0252-71-33,MV-L,0.5,28/02/2011,2011-02-23 22:24:19,438
SA-0050-81-89,MV-L,0.5,28/09/2012,2012-09-10 16:45:35,816
SA-0063-02-33,MV-L,0.5,28/04/2012,2012-04-04 04:29:44,120
SA-0378-80-96,MV-L,0.5,28/04/2012,2012-04-02 03:01:51,823
SA-0305-50-15,MV-L,0.5,28/01/2012,2012-01-03 11:43:51,248
SA-0220-48-64,MV-L,0.5,28/12/2012,2012-12-26 18:03:22,433
SA-0303-06-26,MV-L,0.5,28/10/2012,2012-10-11 00:43:59,489
SA-0220-48-64,MV-L,0.5,28/07/2012,2012-07-23 09:34:31,406
SA-0414-20-79,MV-L,0.5,28/01/2011,2011-01-20 13:10:59,779
SA-0063-02-33,MV-L,0.5,28/06/2011,2011-06-29 08:45:25,341
SA-0133-16-62,MV-L,0.5,28/08/2012,2012-08-12 22:32:16,134
SA-0249-45-54,MV-L,0.5,28/06/2011,2011-06-24 09:17:24,261
SA-0305-50-15,MV-L,0.5,28/04/2011,2011-04-26 21:50:19,783
SA-0037-94-05,MV-L,0.5,28/01/2011,2011-01-27 20:38:16,839
SA-0220-61-46,MV-L,0.5,28/10/2011,2011-10-16 18:05:14,308
SA-0261-41-34,MV-L,0.5,28/09/2012,2012-09-11 09:07:35,638
SA-0249-45-54,MV-L,0.5,28/01/2012,2012-01-06 03:08:57,365
SA-0055-36-68,MV-L,0.5,28/02/2011,2011-02-12 09:18:48,277
SA-0210-42-47,MV-L,0.5,28/02/2011,2011-02-25 14:59:12,839
SA-0005-14-91,MV-L,0.5,28/12/2012,2012-12-24 06:37:32,827
SA-0092-93-02,MV-L,0.5,28/07/2012,2012-07-29 11:56:25,425
SA-0249-45-54,MV-L,0.5,28/01/2012,2012-01-19 20:02:25,799
SA-0222-28-58,MV-L,0.5,28/03/2012,2012-03-14 05:44:07,724
SA-0133-16-62,MV-L,0.5,28/06/2011,2011-06-26 17:19:23,837
SA-0005-14-91,MV-L,0.5,28/06/2012,2012-06-27 08:40:28,774
SA-0305-50-15,MV-L,0.5,28/10/2011,2011-10-24 06:24:27,386
SA-0343-60-69,MV-L,0.5,28/12/2012,2012-12-13 11:00:22,672
SA-0210-42-47,MV-L,0.5,28/10/2011,2011-10-19 09:42:26,632
SA-0155-74-77,MV-L,0.5,28/09/2012,2012-09-26 14:55:09,466
SA-0147-43-82,MV-L,0.5,28/07/2011,2011-07-20 22:37:03,791
SA-0144-10-84,MV-L,0.5,28/03/2012,2012-03-14 07:26:29,99
SA-0005-14-91,MV-L,0.5,28/11/2012,2012-11-06 05:55:10,634
SA-0021-95-06,MV-L,0.5,28/11/2011,2011-11-07 03:44:13,486
SA-0343-60-69,MV-L,0.5,28/03/2011,2011-03-04 02:51:16,830
SA-0263-79-37,MV-L,0.5,28/03/2011,2011-03-23 18:59:56,530
SA-0290-06-89,MV-L,0.5,28/09/2012,2012-09-15 03:49:36,516
SA-0063-02-33,MV-L,0.5,28/08/2012,2012-08-01 19:19:05,347
SA-0033-12-88,MV-L,0.5,28/11/2012,2012-11-06 23:43:15,539
SA-0037-94-05,MV-L,0.5,28/09/2011,2011-09-11 11:08:09,254
SA-0151-98-79,MV-L,0.5,28/02/2011,2011-02-02 19:08:50,99
SA-0114-12-73,MV-L,0.5,28/06/2011,2011-06-22 02:25:10,774
SA-0220-48-64,MV-L,0.5,28/05/2012,2012-05-08 23:24:00,547
SA-0151-98-79,MV-L,0.5,28/10/2011,2011-10-07 02:26:43,539
SA-0033-12-88,MV-L,0.5,28/06/2011,2011-06-12 23:59:12,958
SA-0414-86-48,MV-L,0.5,28/05/2012,2012-05-17 04:23:45,406
SA-0227-78-67,MV-L,0.5,28/06/2012,2012-06-01 23:53:57,615
SA-0055-36-68,MV-L,0.5,28/10/2012,2012-10-04 00:21:25,343
SA-0401-55-12,MV-L,0.5,28/10/2012,2012-10-22 07:18:32,679
SA-0305-50-15,MV-L,0.5,28/10/2012,2012-10-14 07:11:55,805
SA-0133-16-62,MV-L,0.5,28/02/2012,2012-02-25 06:19:07,830
SA-0210-42-47,MV-L,0.5,28/05/2012,2012-05-31 20:20:40,849
SA-0185-10-64,MV-L,0.5,28/03/2011,2011-03-26 03:25:58,518
SA-0312-94-95,MV-L,0.5,28/12/2012,2012-12-26 05:34:39,511
SA-0145-41-01,MV-L,0.5,28/06/2012,2012-06-11 02:21:26,225
SA-0279-91-74,MV-L,0.5,28/09/2012,2012-09-13 22:47:10,296
SA-0186-07-48,MV-L,0.5,28/10/2011,2011-10-27 00:19:45,312
SA-0055-36-68,MV-L,0.5,28/03/2012,2012-03-01 08:11:51,289
SA-0187-35-19,MV-L,0.5,28/12/2012,2012-12-11 22:33:24,506
SA-0401-55-12,MV-L,0.5,28/01/2011,2011-01-24 23:35:23,494
SA-0401-55-12,MV-L,0.5,28/05/2011,2011-05-15 01:00:25,201
SA-0182-19-79,MV-L,0.5,28/02/2011,2011-02-05 04:23:29,658
SA-0114-12-73,MV-L,0.5,28/05/2012,2012-05-07 20:41:03,557
SA-0263-79-37,MV-L,0.5,28/08/2011,2011-08-06 03:52:38,838
SA-0186-07-48,MV-L,0.5,28/07/2012,2012-07-10 22:01:28,805
SA-0055-36-68,MV-L,0.5,28/03/2012,2012-03-07 01:35:54,854
SA-0279-91-74,MV-L,0.5,28/07/2011,2011-07-31 18:23:00,291
SA-0343-60-69,MV-L,0.5,28/10/2011,2011-10-22 15:24:47,402
SA-0414-20-79,MV-L,0.5,28/03/2012,2012-03-02 02:55:06,588
SA-0107-05-98,MV-L,0.5,28/08/2012,2012-08-21 02:30:56,982
SA-0378-80-96,MV-L,0.5,28/03/2012,2012-03-18 00:23:39,375
SA-0021-95-06,MV-L,0.5,28/12/2012,2012-12-17 03:32:04,742
SA-0182-19-79,MV-L,0.5,28/06/2012,2012-06-23 18:56:36,218
SA-0185-10-64,MV-L,0.5,28/09/2012,2012-09-09 17:58:43,678
SA-0186-07-48,MV-L,0.5,28/08/2012,2012-08-11 17:11:13,969
SA-0092-93-02,MV-L,0.5,28/09/2011,2011-09-22 10:38:59,159
SA-0185-10-64,MV-L,0.5,28/12/2011,2011-12-10 05:39:09,152
SA-0009-04-02,MV-L,0.5,28/06/2012,2012-06-28 16:41:02,828
SA-0185-59-07,MV-L,0.5,28/03/2012,2012-03-15 09:42:14,970
SA-0144-10-84,MV-L,0.5,28/04/2011,2011-04-28 06:41:33,933
SA-0009-04-02,MV-L,0.5,28/08/2011,2011-08-02 18:20:50,524
SA-0151-98-79,MV-L,0.5,28/02/2012,2012-02-22 06:46:39,570
SA-0222-28-58,MV-L,0.5,28/10/2011,2011-10-27 19:11:54,114
SA-0187-35-19,MV-L,0.5,28/06/2012,2012-06-26 00:13:37,911
SA-0339-42-22,MV-L,0.5,28/08/2012,2012-08-29 05:23:15,938
SA-0114-12-73,MV-L,0.5,28/04/2012,2012-04-01 16:44:16,304
SA-0185-10-64,MV-L,0.5,28/09/2012,2012-09-11 15:10:54,704
SA-0220-61-46,MV-L,0.5,28/06/2012,2012-06-28 22:34:14,558
SA-0252-71-33,MV-L,0.5,28/01/2012,2012-01-05 22:17:32,494
SA-0055-36-68,MV-L,0.5,28/06/2012,2012-06-23 10:27:42,912
SA-0033-12-88,MV-L,0.5,28/03/2012,2012-03-19 21:56:38,146
SA-0339-42-22,MV-L,0.5,28/01/2012,2012-01-23 18:40:41,311
SA-0279-91-74,MV-L,0.5,28/08/2012,2012-08-05 09:17:58,651
SA-0138-33-52,MV-L,0.5,28/02/2011,2011-02-15 00:17:48,841
SA-0092-93-02,MV-L,0.5,28/10/2012,2012-10-02 08:15:26,434
SA-0012-71-76,MV-L,0.5,28/10/2012,2012-10-10 08:08:38,765
SA-0107-05-98,MV-L,0.5,28/04/2011,2011-04-23 08:40:21,673
SA-0155-74-77,MV-L,0.5,28/11/2011,2011-11-29 00:14:42,753
SA-0361-84-31,MV-L,0.5,28/03/2012,2012-03-24 10:01:35,482
SA-0187-35-19,MV-L,0.5,28/08/2012,2012-08-19 22:03:11,278
SA-0185-59-07,MV-L,0.5,28/07/2012,2012-07-26 10:29:09,273
SA-0202-82-34,MV-L,0.5,28/08/2011,2011-08-07 08:28:13,834
SA-0401-55-12,MV-L,0.5,28/04/2012,2012-04-02 00:16:50,234
SA-0263-79-37,MV-L,0.5,28/04/2011,2011-04-20 13:07:52,628
SA-0055-36-68,MV-L,0.5,28/08/2011,2011-08-26 02:43:29,805
SA-0261-41-34,MV-L,0.5,28/04/2011,2011-04-16 22:56:28,943
SA-0033-12-88,MV-L,0.5,28/01/2011,2011-01-05 10:32:41,195
SA-0290-06-89,MV-L,0.5,28/07/2012,2012-07-01 20:45:16,143
SA-0220-48-64,MV-L,0.5,28/11/2011,2011-11-01 20:02:09,982
SA-0114-12-73,MV-L,0.5,28/11/2011,2011-11-19 08:06:11,667
SA-0314-69-44,MV-L,0.5,28/11/2012,2012-11-07 18:10:36,393
SA-0305-50-15,MV-L,0.5,28/02/2012,2012-02-04 19:50:55,804
SA-0063-02-33,MV-L,0.5,28/05/2011,2011-05-18 03:08:04,319
SA-0005-14-91,MV-L,0.5,28/08/2012,2012-08-14 23:00:36,570
SA-0133-16-62,MV-L,0.5,28/08/2012,2012-08-13 04:15:35,260
SA-0343-60-69,MV-L,0.5,28/04/2012,2012-04-02 09:45:05,525
SA-0185-59-07,MV-L,0.5,28/11/2011,2011-11-18 06:25:40,852
SA-0021-95-06,MV-L,0.5,28/05/2012,2012-05-23 01:49:05,157
SA-0187-35-19,MV-L,0.5,28/01/2011,2011-01-06 22:40:10,835
SA-0055-36-68,MV-L,0.5,28/03/2011,2011-03-10 15:47:56,738
SA-0080-84-93,MV-L,0.5,28/12/2012,2012-12-08 15:27:10,989
SA-0312-94-95,MV-L,0.5,28/12/2011,2011-12-11 22:33:45,779
SA-0343-60-69,MV-L,0.5,28/03/2011,2011-03-14 11:08:20,508
SA-0220-48-64,MV-L,0.5,28/08/2012,2012-08-12 14:42:19,616
SA-0305-50-15,MV-L,0.5,28/05/2011,2011-05-03 04:11:01,128
SA-0401-55-12,MV-L,0.5,28/04/2012,2012-04-24 18:43:27,165
SA-0155-74-77,MV-L,0.5,28/04/2012,2012-04-29 11:57:25,535
SA-0107-05-98,MV-L,0.5,28/08/2012,2012-08-24 14:34:55,555
SA-0210-42-47,MV-L,0.5,28/06/2011,2011-06-22 17:35:50,912
SA-0312-94-95,MV-L,0.5,28/01/2012,2012-01-02 10:36:15,520
SA-0187-35-19,MV-L,0.5,28/11/2011,2011-11-04 07:22:15,267
SA-0185-10-64,MV-L,0.5,28/08/2011,2011-08-12 15:00:34,821
SA-0144-10-84,MV-L,0.5,28/04/2011,2011-04-17 08:40:17,963
SA-0080-84-93,MV-L,0.5,28/01/2012,2012-01-08 04:37:10,827
SA-0144-10-84,MV-L,0.5,28/03/2011,2011-03-22 03:52:46,311
SA-0050-81-89,MV-L,0.5,28/01/2011,2011-01-30 04:09:56,137
SA-0414-20-79,MV-L,0.5,28/10/2012,2012-10-17 09:33:48,207
SA-0303-06-26,MV-L,0.5,28/10/2011,2011-10-15 12:06:58,501
SA-0107-05-98,MV-L,0.5,28/10/2011,2011-10-14 07:22:07,329
SA-0147-43-82,MV-L,0.5,28/01/2011,2011-01-25 23:51:54,640
