AccNo,FeaName,Sdate,Edate
SA-0155-74-77,Call Transfer,05/01/2012,30/11/2012
SA-0155-74-77,International Calls,02/01/2011,01/10/2011
SA-0155-74-77,International Calls,04/01/2012,29/11/2012
SA-0182-19-79,Call Transfer,02/01/2011,29/10/2011
SA-0182-19-79,Call Transfer,09/01/2012,06/12/2012
SA-0182-19-79,International Calls,04/01/2011,09/10/2011
SA-0182-19-79,International Calls,02/01/2012,20/09/2012
SA-0185-10-64,Call Transfer,01/01/2011,19/10/2011
SA-0185-10-64,Call Transfer,11/01/2012,21/07/2012
SA-0185-10-64,International Calls,02/01/2011,08/12/2011
SA-0185-10-64,International Calls,06/01/2012,23/10/2012
SA-0185-59-07,Call Transfer,02/01/2011,06/09/2011
SA-0185-59-07,Call Transfer,07/01/2012,26/07/2012
SA-0185-59-07,International Calls,01/01/2011,08/09/2011
SA-0185-59-07,International Calls,09/01/2012,04/07/2012
SA-0186-07-48,Call Transfer,01/01/2011,02/12/2011
SA-0186-07-48,Call Transfer,06/01/2012,03/07/2012
SA-0186-07-48,International Calls,20/01/2011,11/07/2011
SA-0186-07-48,International Calls,06/01/2012,19/08/2012
SA-0187-35-19,Call Transfer,07/01/2011,26/09/2011
SA-0187-35-19,Call Transfer,14/01/2012,11/08/2012
SA-0187-35-19,International Calls,01/01/2011,20/10/2011
SA-0187-35-19,International Calls,01/01/2012,22/12/2012
SA-0202-82-34,Call Transfer,01/01/2011,06/10/2011
SA-0202-82-34,Call Transfer,01/01/2012,14/12/2012
SA-0202-82-34,International Calls,17/01/2011,03/12/2011
SA-0202-82-34,International Calls,01/01/2012,03/12/2012
SA-0210-42-47,Call Transfer,03/01/2011,13/08/2011
SA-0210-42-47,Call Transfer,01/01/2012,03/10/2012
SA-0210-42-47,International Calls,02/01/2011,24/11/2011
SA-0210-42-47,International Calls,02/01/2012,09/07/2012
SA-0220-48-64,Call Transfer,02/01/2011,07/11/2011
SA-0220-48-64,Call Transfer,02/01/2012,24/12/2012
SA-0220-48-64,International Calls,04/01/2011,16/08/2011
SA-0220-48-64,International Calls,02/01/2012,04/11/2012
SA-0220-61-46,Call Transfer,02/01/2011,01/11/2011
SA-0220-61-46,Call Transfer,01/01/2012,24/09/2012
SA-0220-61-46,International Calls,02/01/2011,14/10/2011
SA-0220-61-46,International Calls,02/01/2012,18/07/2012
SA-0222-28-58,Call Transfer,06/01/2011,16/09/2011
SA-0222-28-58,Call Transfer,02/01/2012,12/08/2012
SA-0222-28-58,International Calls,02/01/2011,04/07/2011
SA-0222-28-58,International Calls,03/01/2012,26/12/2012
SA-0227-78-67,Call Transfer,04/01/2011,20/08/2011
SA-0227-78-67,Call Transfer,01/01/2012,29/12/2012
SA-0227-78-67,International Calls,01/01/2011,01/07/2011
SA-0227-78-67,International Calls,04/01/2012,01/07/2012
SA-0249-45-54,Call Transfer,01/01/2011,02/11/2011
SA-0249-45-54,Call Transfer,05/01/2012,24/08/2012
SA-0249-45-54,International Calls,04/01/2011,14/11/2011
SA-0249-45-54,International Calls,01/01/2012,18/07/2012
SA-0252-71-33,Call Transfer,07/01/2011,19/07/2011
SA-0252-71-33,Call Transfer,04/01/2012,19/07/2012
SA-0252-71-33,International Calls,03/01/2011,15/08/2011
SA-0252-71-33,International Calls,12/01/2012,05/08/2012
SA-0261-41-34,Call Transfer,02/01/2011,19/12/2011
SA-0261-41-34,Call Transfer,01/01/2012,18/12/2012
SA-0261-41-34,International Calls,02/01/2011,09/08/2011
SA-0261-41-34,International Calls,03/01/2012,23/09/2012
SA-0263-79-37,Call Transfer,10/01/2011,20/10/2011
SA-0263-79-37,Call Transfer,02/01/2012,28/09/2012
SA-0263-79-37,International Calls,04/01/2011,16/11/2011
SA-0263-79-37,International Calls,03/01/2012,10/08/2012
SA-0279-91-74,Call Transfer,02/01/2011,02/08/2011
SA-0279-91-74,Call Transfer,05/01/2012,26/08/2012
SA-0279-91-74,International Calls,08/01/2011,24/11/2011
SA-0279-91-74,International Calls,12/01/2012,12/08/2012
SA-0290-06-89,Call Transfer,01/01/2011,23/10/2011
SA-0290-06-89,Call Transfer,03/01/2012,13/07/2012
SA-0290-06-89,International Calls,06/01/2011,24/07/2011
SA-0290-06-89,International Calls,03/01/2012,19/08/2012
SA-0303-06-26,Call Transfer,06/01/2011,13/10/2011
SA-0303-06-26,Call Transfer,04/01/2012,01/12/2012
SA-0303-06-26,International Calls,01/01/2011,05/08/2011
SA-0303-06-26,International Calls,06/01/2012,01/08/2012
SA-0305-50-15,Call Transfer,08/01/2011,08/07/2011
SA-0305-50-15,Call Transfer,02/01/2012,16/11/2012
SA-0305-50-15,International Calls,01/01/2011,21/08/2011
SA-0305-50-15,International Calls,08/01/2012,18/12/2012
SA-0312-94-95,Call Transfer,05/01/2011,14/08/2011
SA-0312-94-95,Call Transfer,01/01/2012,06/11/2012
SA-0312-94-95,International Calls,01/01/2011,29/08/2011
SA-0312-94-95,International Calls,06/01/2012,04/11/2012
SA-0314-69-44,Call Transfer,06/01/2011,02/09/2011
SA-0314-69-44,Call Transfer,03/01/2012,31/07/2012
SA-0314-69-44,International Calls,01/01/2011,18/12/2011
SA-0314-69-44,International Calls,01/01/2012,02/08/2012
SA-0335-96-08,Call Transfer,12/01/2011,18/09/2011
SA-0335-96-08,Call Transfer,02/01/2012,08/09/2012
SA-0335-96-08,International Calls,01/01/2011,17/11/2011
SA-0335-96-08,International Calls,02/01/2012,20/09/2012
SA-0339-42-22,Call Transfer,04/01/2011,04/10/2011
SA-0339-42-22,Call Transfer,07/01/2012,01/09/2012
SA-0339-42-22,International Calls,01/01/2011,08/10/2011
SA-0339-42-22,International Calls,04/01/2012,06/08/2012
SA-0343-60-69,Call Transfer,06/01/2011,31/10/2011
SA-0343-60-69,Call Transfer,04/01/2012,17/10/2012
SA-0343-60-69,International Calls,05/01/2011,08/11/2011
SA-0343-60-69,International Calls,02/01/2012,30/10/2012
SA-0361-84-31,Call Transfer,12/01/2011,12/11/2011
SA-0361-84-31,Call Transfer,05/01/2012,08/09/2012
SA-0361-84-31,International Calls,04/01/2011,10/08/2011
SA-0361-84-31,International Calls,03/01/2012,20/10/2012
SA-0378-80-96,Call Transfer,02/01/2011,28/07/2011
SA-0378-80-96,Call Transfer,23/01/2012,10/10/2012
SA-0378-80-96,International Calls,02/01/2011,23/09/2011
SA-0378-80-96,International Calls,01/01/2012,18/08/2012
SA-0401-55-12,Call Transfer,02/01/2011,18/11/2011
SA-0401-55-12,Call Transfer,01/01/2012,15/08/2012
SA-0401-55-12,International Calls,02/01/2011,03/08/2011
SA-0401-55-12,International Calls,02/01/2012,01/09/2012
SA-0414-20-79,Call Transfer,13/01/2011,28/08/2011
SA-0414-20-79,Call Transfer,04/01/2012,09/08/2012
SA-0414-20-79,International Calls,02/01/2011,11/09/2011
SA-0414-20-79,International Calls,04/01/2012,21/07/2012
SA-0414-86-48,Call Transfer,01/01/2011,07/10/2011
SA-0414-86-48,Call Transfer,01/01/2012,25/09/2012
SA-0414-86-48,International Calls,01/01/2011,03/12/2011
SA-0414-86-48,International Calls,02/01/2012,28/10/2012
